Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,181.960007,182.300003,179.509995,180.000000,180.000000,3453895
2011-01-03,181.369995,186.000000,181.210007,184.220001,184.220001,5333813
2011-01-04,186.240005,187.699493,183.779999,185.009995,185.009995,5034775
2011-01-05,184.100006,187.449997,184.070007,187.419998,187.419998,3418779
2011-01-06,186.500000,187.410004,185.250000,185.860001,185.860001,3179610
2011-01-07,187.880005,188.449997,183.740005,185.490005,185.490005,5222815
2011-01-10,185.039993,185.289993,182.509995,184.679993,184.679993,3376678
2011-01-11,185.419998,186.000000,183.210007,184.339996,184.339996,2815814
2011-01-12,185.360001,185.380005,183.300003,184.080002,184.080002,2679087
2011-01-13,183.600006,186.449997,183.509995,185.529999,185.529999,3368768
2011-01-14,185.500000,188.940002,184.919998,188.750000,188.750000,3664965
2011-01-18,188.479996,191.600006,188.250000,191.250000,191.250000,3901726
2011-01-19,190.899994,191.000000,186.210007,186.869995,186.869995,3889410
2011-01-20,185.020004,186.850006,181.000000,181.960007,181.960007,5717568
2011-01-21,183.250000,183.250000,176.839996,177.419998,177.419998,6812240
2011-01-24,177.949997,178.490005,174.147507,176.850006,176.850006,5602345
2011-01-25,175.570007,176.750000,174.279999,176.699997,176.699997,4653276
2011-01-26,177.500000,177.889999,174.630005,175.389999,175.389999,3762167
2011-01-27,177.479996,185.000000,177.309998,184.449997,184.449997,14594320
2011-01-28,171.720001,173.710007,166.899994,171.139999,171.139999,19914851
2011-01-31,170.160004,171.440002,167.410004,169.639999,169.639999,6715338
2011-02-01,170.779999,173.100006,169.509995,172.110001,172.110001,5089748
2011-02-02,171.610001,175.199997,170.869995,173.529999,173.529999,4551448
2011-02-03,173.500000,174.669998,171.949997,173.710007,173.710007,3681259
2011-02-04,174.000000,177.190002,173.750000,175.929993,175.929993,4352491
2011-02-07,176.149994,177.550003,174.770004,176.429993,176.429993,5256698
2011-02-08,176.660004,183.110001,176.589996,183.059998,183.059998,7802311
2011-02-09,183.000000,186.470001,182.259995,185.300003,185.300003,8315841
2011-02-10,184.389999,187.240005,183.600006,186.210007,186.210007,5332604
2011-02-11,185.380005,189.500000,185.369995,189.250000,189.250000,4497699
2011-02-14,189.250000,191.399994,188.350006,190.419998,190.419998,4070689
2011-02-15,188.589996,190.490005,188.250000,189.029999,189.029999,3890806
2011-02-16,189.509995,190.000000,186.350006,186.619995,186.619995,4633082
2011-02-17,185.360001,189.089996,185.309998,187.759995,187.759995,3426374
2011-02-18,187.740005,188.500000,185.130005,186.500000,186.500000,4179841
2011-02-22,183.619995,184.720001,179.320007,180.419998,180.419998,5639604
2011-02-23,180.250000,181.149994,174.389999,176.679993,176.679993,5487837
2011-02-24,176.860001,179.750000,174.559998,177.750000,177.750000,4661140
2011-02-25,179.000000,180.750000,177.100006,177.240005,177.240005,4194514
2011-02-28,173.809998,175.889999,172.149994,173.289993,173.289993,6788009
2011-03-01,173.919998,173.960007,168.669998,169.440002,169.440002,5847443
2011-03-02,169.000000,173.300003,168.350006,172.020004,172.020004,5186388
2011-03-03,173.839996,174.460007,172.050003,172.789993,172.789993,4139104
2011-03-04,172.550003,172.750000,169.509995,171.669998,171.669998,4924495
2011-03-07,171.750000,172.089996,166.240005,169.080002,169.080002,5933430
2011-03-08,169.320007,169.710007,166.720001,166.889999,166.889999,4223893
2011-03-09,166.679993,169.750000,163.899994,169.050003,169.050003,7109627
2011-03-10,167.500000,168.470001,164.820007,166.139999,166.139999,6000454
2011-03-11,165.309998,169.199997,164.119995,168.070007,168.070007,4607082
2011-03-14,166.600006,168.080002,164.570007,166.729996,166.729996,4023987
2011-03-15,161.449997,166.880005,160.759995,165.080002,165.080002,4938226
2011-03-16,164.699997,168.139999,162.870102,164.699997,164.699997,5214642
2011-03-17,165.899994,166.300003,160.779999,160.970001,160.970001,6472880
2011-03-18,161.210007,163.539993,160.589996,161.820007,161.820007,7449926
2011-03-21,163.699997,165.789993,161.720001,164.524994,164.524994,4055811
2011-03-22,164.089996,164.440002,162.250000,162.600006,162.600006,3612926
2011-03-23,162.100006,166.259995,160.820007,165.320007,165.320007,4723630
2011-03-24,168.210007,172.000000,167.360001,171.100006,171.100006,6286823
2011-03-25,171.649994,173.490005,170.300003,170.979996,170.979996,4294302
2011-03-28,171.800003,172.500000,169.250000,169.350006,169.350006,3400936
2011-03-29,170.729996,174.839996,170.070007,174.619995,174.619995,4887443
2011-03-30,177.970001,181.160004,177.660004,179.419998,179.419998,6854251
2011-03-31,179.240005,181.570007,178.500000,180.130005,180.130005,4828345
2011-04-01,181.580002,183.250000,178.589996,180.130005,180.130005,5686427
2011-04-04,180.889999,183.610001,180.690002,182.940002,182.940002,4189692
2011-04-05,181.919998,186.360001,181.800003,185.289993,185.289993,5570058
2011-04-06,186.149994,188.270004,181.119995,182.759995,182.759995,5431265
2011-04-07,182.619995,185.169998,181.759995,184.910004,184.910004,4565547
2011-04-08,185.360001,186.220001,182.779999,184.710007,184.710007,3727206
